ShipBox,ShipTray,ShipHole,FlatNum,ManufactureDate,HexCode,IdleCurrent,BatteryVoltage,OutputCurrent,Period_Nom,Length_mm,Width_mm,Height_mm,Weight_air_mg,FullID,Power_db,Customer_PO,Sales_Order_No,Project Name,Project Fund,Notes,Manufacturer,DecCode,Model,Serial No,UseType,Frequency_kHz,Period_Est,EstimatedLife,WarrantyLife,BatteryType,Cost,Date_Received,Agency,Owner
2047,1,31,5346,20-Nov-23,72A0,0.0000004707,3.19v,0.0000000557,5,14.2,3.2,3.2,204,G7272A028,154,,,,,,,,,,,,,,,,,,,
2047,1,32,5346,20-Nov-23,726E,0.0000004023,3.19v,0.0000000536,5,14.2,3.2,3.2,213,G72726EFD,155,,,,,,,,,,,,,,,,,,,
2047,1,33,5357,20-Nov-23,EE56,0.0000004267,3.19v,0.0000000598,5,14.2,3.2,3.2,209,G72EE560F,156,,,,,,,,,,,,,,,,,,,
2047,1,34,5358,20-Nov-23,EF57,0.0000005289,3.19v,0.0000000557,5,14.2,3.2,3.2,206,G72EF5795,155,,,,,,,,,,,,,,,,,,,
2047,1,35,5348,20-Nov-23,E98D,0.0000004417,3.19v,0.0000000557,5,14.2,3.2,3.2,205,G72E98D16,155,,,,,,,,,,,,,,,,,,,
2047,1,36,5356,20-Nov-23,EDE5,0.0000005393,3.19v,0.0000000586,5,14.2,3.2,3.2,205,G72EDE58A,155,,,,,,,,,,,,,,,,,,,
2047,1,37,5356,20-Nov-23,EDED,0.0000004605,3.19v,0.0000000617,5,14.2,3.2,3.2,206,G72EDED48,153,,,,,,,,,,,,,,,,,,,
2047,1,38,5350,20-Nov-23,EA99,0.0000004865,3.19v,0.0000000586,5,14.2,3.2,3.2,204,G72EA99BF,156,,,,,,,,,,,,,,,,,,,
2047,1,39,5346,20-Nov-23,7297,0.0000004449,3.19v,0.000000054,5,14.2,3.2,3.2,205,G72729715,156,,,,,,,,,,,,,,,,,,,
2047,1,40,5358,20-Nov-23,EEBD,0.0000004277,3.19v,0.0000000513,5,14.2,3.2,3.2,203,G72EEBDC6,153,,,,,,,,,,,,,,,,,,,
2047,1,41,5357,20-Nov-23,EEAC,0.0000007334,3.19v,0.0000000577,5,14.2,3.2,3.2,205,G72EEAC05,156,,,,,,,,,,,,,,,,,,,
2047,1,42,5350,21-Nov-23,EAA1,0.0000005107,3.19v,0.0000000606,5,14.2,3.2,3.2,206,G72EAA1C3,155,,,,,,,,,,,,,,,,,,,
2047,1,43,5346,21-Nov-23,E89D,0.000000454,3.19v,0.0000000587,5,14.2,3.2,3.2,205,G72E89D4F,154,,,,,,,,,,,,,,,,,,,
2047,1,44,5357,21-Nov-23,EE89,0.0000004107,3.19v,0.0000000569,5,14.2,3.2,3.2,205,G72EE8919,154,,,,,,,,,,,,,,,,,,,
2047,1,45,5358,21-Nov-23,EF6D,0.0000004454,3.19v,0.0000000568,5,14.2,3.2,3.2,207,G72EF6D55,155,,,,,,,,,,,,,,,,,,,
2047,1,46,5347,21-Nov-23,E8AD,0.0000004635,3.19v,0.00000006,5,14.2,3.2,3.2,203,G72E8ADF1,154,,,,,,,,,,,,,,,,,,,
2047,1,47,5358,21-Nov-23,EED3,0.0000004356,3.19v,0.0000000527,5,14.2,3.2,3.2,206,G72EED3BC,153,,,,,,,,,,,,,,,,,,,
2047,1,48,5356,21-Nov-23,EDB6,0.0000004886,3.19v,0.0000000587,5,14.2,3.2,3.2,208,G72EDB6B3,155,,,,,,,,,,,,,,,,,,,
2047,1,49,5350,21-Nov-23,EABB,0.0000004719,3.19v,0.000000056,5,14.2,3.2,3.2,202,G72EABB20,155,,,,,,,,,,,,,,,,,,,
2047,1,50,5350,21-Nov-23,EABF,0.0000004646,3.19v,0.0000000528,5,14.2,3.2,3.2,202,G72EABF41,156,,,,,,,,,,,,,,,,,,,
2047,1,51,5348,21-Nov-23,E9A4,0.0000004631,3.19v,0.000000056,5,14.2,3.2,3.2,206,G72E9A4A9,154,,,,,,,,,,,,,,,,,,,
2047,1,52,5348,21-Nov-23,E97A,0.0000004346,3.19v,0.0000000561,5,14.2,3.2,3.2,201,G72E97AE1,154,,,,,,,,,,,,,,,,,,,
2047,1,53,5347,21-Nov-23,E93A,0.0000004562,3.19v,0.0000000547,5,14.2,3.2,3.2,207,G72E93AA7,153,,,,,,,,,,,,,,,,,,,
